old,new
20th Century Fox Distribution,20th Century Fox
20th Century Fox Film Corporat,20th Century Fox
A24 and DIRECTV,A24 / DIRECTV
A24 Films,A24
After Dark Films/Freestyle Releasing,After Dark Films / Freestyle Releasing
Artisan,Artisan Entertainment
Buena Vista,Buena Vista International
Buena Vista Distribution,Buena Vista International
Buena Vista Distribution Compa,Buena Vista International
Buena Vista Internationa,Buena Vista International
Buena Vista Pictures,Buena Vista International
Cinema Service,Cinema Group
Columbia Tristar Pictures,Columbia Pictures
Destination Film,Destination Films
Dreamworks Distribution LLC,Dreamworks Pictures
DreamWorks SKG,Dreamworks Pictures
Dreamworks/Paramount,Dreamworks Pictures
Fox,20th Century Fox
Fox International,20th Century Fox
Fox Searchlight,20th Century Fox
Fox Searchlight Pictures,20th Century Fox
Gravitas Ventures,Gravitas
IFC,IFC Films
IFC First Take,IFC Films
Independant Pictures,Warner Bros.
Independent Pictures,Warner Bros.
Lions Gate,Lionsgate
Lions Gate Films,Lionsgate
Lions Gate Films Inc.,Lionsgate
Film Arcade,The Film Arcade
Lions Gate Releasing,Lionsgate
Lionsgate Films,Lionsgate
Lionsgate Films/After Dark Films,Lionsgate / After Dark Films
Lionsgate/Roadside Attractions,Lionsgate / Roadside Attractions
MGM/UA,MGM / United Artists
Miramax Films,Miramax
NCM/Fathom,NCM Fathom
New Line Home Entertainment,New Line Cinema
Newmarket Film Group,Newmarket Films
Paramount Classics,Paramount
Paramount Home Video,Paramount
Paramount Pictures,Paramount
Paramount Studios,Paramount
Paramount Vantage,Paramount
Screen Gems/SONY PICTURES,Screen Gems / Sony Pictures
Sony Classics,Sony Pictures
Sony Pictures Classics,Sony Pictures
Sony Pictures Entertainment,Sony Pictures
Sony Pictures Home Entertainment,Sony Pictures
Sony Pictures Releasing,Sony Pictures
Sony Pictures/Columbia,Sony Pictures / Columbia Pictures
Sony Pictures/Columbia Pictures,Sony Pictures / Columbia Pictures
Sony Pictures/TriStar Pictures,Sony Pictures / TriStar Pictures
STXfilms,STX Entertainment
Summit Entertainment.,Summit Entertainment
Summit Premiere,Summit Entertainment
The Weinstein Co.,The Weinstein Company
The Weinstein Company,The Weinstein Company
Truly Indie/BEV Pictures,Truly Indie / BEV Pictures
Twentieth Century Fox,20th Century Fox
Twentieth Century Fox Home Entertainment,20th Century Fox
United Artists Pictures,United Artists
United Artists Pictures/MGM,United Artists Pictures / MGM
Universal,Universal Pictures
Universal Pictures Distributio,Universal Pictures
Universal Pictures International,Universal Pictures
Universal Studios,Universal Pictures
Universal Studios Home Video,Universal Pictures
Walt Disney Animation Studios,Walt Disney Pictures
Warner Bros. Pictures,Warner Bros.
WARNER BROTHERS PICTURES,Warner Bros.
WB,Warner Bros.
Weinstein Co.,The Weinstein Company
