rank,name,worldwide_box_office,movies,average
1,Steven Spielberg,10548165432,36,293004595
2,Anthony Russo,6839063507,7,977009072
3,Joe Russo,6839063507,8,854882938
4,Peter Jackson,6535735207,14,466838229
5,Michael Bay,6443668115,16,402729257
6,James Cameron,6234449998,14,445317857
7,David Yates,5973088427,8,746636053
8,Christopher Nolan,4962078794,12,413506566
9,J.J. Abrams,4650003994,6,775000666
10,Tim Burton,4413225852,19,232275045
11,Robert Zemeckis,4355573013,22,197980592
12,Jon Favreau,4323493253,9,480388139
13,Ron Howard,4300611087,33,130321548
14,Ridley Scott,4210552146,29,145191453
15,Chris Columbus,4080458074,16,255028630
16,Roland Emmerich,3956018920,15,263734595
17,Bryan Singer,3725088037,10,372508804
18,Pierre Coffin,3710909442,4,927727361
19,Gore Verbinski,3684949039,11,334995367
20,James Wan,3654804393,9,406089377
21,George Lucas,3448142176,6,574690363
22,Brad Bird,3433470811,6,572245135
23,Francis Lawrence,3350317781,9,372257531
24,Clint Eastwood,3317480436,39,85063601
25,Sam Raimi,3308337672,15,220555845
26,Chris Renaud,3189403641,5,637880728
27,Todd Phillips,3178917391,10,317891739
28,Zack Snyder,3170405984,10,317040598
29,Sam Mendes,3085270264,9,342807807
30,Carlos Saldanha,3069459365,7,438494195
31,Bill Condon,3037900949,12,253158412
32,M. Night Shyamalan,3018311899,13,232177838
33,Joss Whedon,2955847703,5,591169541
34,Andrew Stanton,2776387102,4,694096776
35,Tom McGrath,2753014755,7,393287822
36,Jennifer Lee,2715533838,2,1357766919
37,Chris Buck,2715533838,2,1357766919
38,Andrew Adamson,2593884929,6,432314155
39,Guy Ritchie,2591279798,14,185091414
40,John Lasseter,2466823153,6,411137192
41,Eric Darnell,2422562005,5,484512401
42,Barry Sonnenfeld,2415370581,12,201280882
43,Conrad Vernon,2405818911,6,400969819
44,Shawn Levy,2389717088,13,183824391
45,Justin Lin,2297085689,11,208825972
46,Steven Soderbergh,2292578496,33,69472076
47,Jon Turteltaub,2268844314,11,206258574
48,F. Gary Gray,2251163261,12,187596938
49,Kyle Balda,2192228034,3,730742678
50,Jake Kasdan,2166815982,7,309545140
51,Pete Docter,2159154742,4,539788686
52,Brett Ratner,2153851289,12,179487607
53,Martin Scorsese,2153594042,30,71786468
54,Rob Marshall,2132642973,7,304663282
55,Tony Scott,2108960491,16,131810031
56,David Fincher,2108393607,11,191672146
57,Andy Wachowski,2044315841,7,292045120
58,James Mangold,2038633162,12,169886097
59,Rich Moore,2031757309,3,677252436
60,Martin Campbell,2027120103,14,144794293
61,Jon Watts,2013911614,4,503477904
62,Rob Minkoff,2006834711,8,250854339
63,Quentin Tarantino,1971427176,11,179220652
64,Richard Donner,1958516144,18,108806452
65,Byron Howard,1919697078,3,639899026
66,Lee Unkrich,1867209592,2,933604796
67,Raja Gosnell,1860931317,10,186093132
68,Wolfgang Petersen,1825552544,11,165959322
69,Rian Johnson,1818504079,5,363700816
70,Ivan Reitman,1817837549,15,121189170
71,Dennis Dugan,1799312583,15,119954172
72,Jay Roach,1798699200,13,138361477
73,Mike Newell,1768866878,16,110554180
74,Garry Marshall,1752695519,18,97371973
75,Ron Clements,1748908649,6,291484775
76,Joe Johnston,1734395893,11,157672354
77,John Musker,1725303115,5,345060623
78,Mike Mitchell,1721816204,7,245973743
79,Peyton Reed,1699631891,7,242804556
80,Christopher McQuarrie,1693406457,5,338681291
81,Ang Lee,1692941738,14,120924410
82,James Gunn,1684684519,7,240669217
83,Colin Trevorrow,1678746190,5,335749238
84,Rob Letterman,1669773865,7,238539124
85,Joel Schumacher,1666290707,23,72447422
86,Kenneth Branagh,1663402649,19,87547508
87,Alfonso Cuarón,1654904636,8,206863080
88,David Leitch,1644791103,5,328958221
89,Dean DeBlois,1631597098,5,326319420
90,Paul W.S. Anderson,1626327623,13,125102125
91,Marc Forster,1615754441,11,146886767
92,Gareth Edwards,1589851397,3,529950466
93,Robert Rodriguez,1584836789,23,68905947
94,Peter Berg,1579933649,12,131661137
95,Tom Shadyac,1579209212,8,197401152
96,Paul Greengrass,1573271472,10,157327147
97,Marc Webb,1540215932,7,220030847
98,Stephen Sommers,1535016119,8,191877015
99,Ryan Coogler,1527611547,4,381902887
100,Peter Farrelly,1526162755,15,101744184
101,Juan Antonio Bayona,1524339141,3,508113047
102,Chris Weitz,1512129357,8,189016170
103,Doug Liman,1487010651,14,106215047
104,Kelly Asbury,1461448997,5,292289799
105,Shane Black,1451306046,5,290261209
106,Steve Martino,1429334633,4,357333658
107,Bobby Farrelly,1421368620,12,118447385
108,Chris Sanders,1421100353,4,355275088
109,Hao Ning,1416547247,5,283309449
110,Matthew Vaughn,1415073035,7,202153291
111,Rob Cohen,1409787313,14,100699094
112,Edward Zwick,1392979729,14,99498552
113,Jon M. Chu,1390271293,10,139027129
114,Matt Reeves,1377195447,5,275439089
115,Antoine Fuqua,1375735251,20,68786763
116,Genndy Tartakovsky,1374356007,3,458118669
117,Barry Levinson,1363492677,26,52442026
118,Chris Miller,1362318413,4,340579603
119,Nancy Meyers,1351688561,6,225281427
120,Kirk Wise,1333603645,5,266720729
121,John Woo,1328068454,14,94862032
122,Brad Peyton,1324749337,7,189249905
123,Woody Allen,1314909986,49,26834898
